group_id,course_name,start_date,end_date,gender,background_level,age,exam_1_score,exam_2_score,exam_3_score,homework_submission_rate,practice_participation_rate,lecture_attendance_rate,self_study_hours_per_week,video_lecture_engagement_level,assigned_readings_completion_level,asked_questions_flag,requested_help,effort_index,failures,continued_after_failure,focus_level,has_a_job,also_studies_in_uni,daily_screen_time_hours,travel_time_minutes,smoking_and_breaks_level,health_rating,wants_higher_education,freetime_rating,weekday_alcohol_usage,stress_level,sleep_hours,parental_education,device_access_score,peer_support_level
Wave_3,AI,Sep 2024,Sep 2025,F,beginner,30,42.45,95.35,66.76,0.39,0.79,0.93,2.2,sometimes,partial,1,0,0.56,0,1,4,1,1,3.3,58,none,2,1,1,2,2,5.6,school,0.7,4
Wave_4,AI,Mar 2025,Mar 2026,M,intermediate,32,50.14,82.43,51.11,0.83,0.42,0.43,19.2,sometimes,all,0,1,0.66,4,1,3,1,0,8.6,70,frequent,3,1,4,5,4,8.3,school,0.54,1
Wave_1,AI,Sep 2023,Sep 2024,F,beginner,20,56.72,49.15,72.51,0.32,0.42,0.53,15.3,sometimes,partial,0,0,0.51,2,1,4,1,0,2.3,53,light,3,1,2,1,5,4.2,school,0.87,1
Wave_3,C++,Sep 2024,Sep 2025,M,intermediate,25,50.62,74.58,92.38,0.32,0.33,0.46,8.4,every_lecture,mostly,1,1,0.38,0,1,4,1,0,5.4,20,light,4,1,4,5,5,4.2,none,0.47,3
Wave_3,Web,Sep 2024,Sep 2025,M,advanced,33,45.32,76.4,83.93,0.53,0.82,0.55,7.3,sometimes,none,0,1,0.57,1,1,3,1,0,3.3,6,none,1,1,5,3,2,7.1,none,0.46,4
Wave_4,C++,Mar 2025,Mar 2026,M,beginner,30,47.24,65.45,88.39,0.64,0.76,0.35,8.3,sometimes,mostly,1,0,0.54,1,0,2,0,0,9,64,none,2,0,5,5,1,4.3,school,0.65,3
Wave_1,C++,Sep 2023,Sep 2024,M,intermediate,27,67.65,84.19,79.53,0.84,0.63,0.66,15.9,mostly,all,1,1,0.73,0,0,3,0,1,6.5,58,none,4,1,2,2,1,5.6,school,0.48,3
Wave_1,Web,Sep 2023,Sep 2024,M,intermediate,34,52.38,96.06,81.54,0.78,0.89,0.35,13.9,mostly,partial,0,0,0.68,0,1,3,0,0,3.9,34,frequent,1,0,3,1,1,7.4,school,0.31,2
Wave_3,DevHack,Sep 2024,Sep 2025,F,beginner,22,61.86,95.53,90.95,0.61,0.86,0.86,5.3,mostly,all,0,0,0.65,1,1,3,0,1,6,88,light,3,0,5,2,5,5.7,school,0.75,2
Wave_2,AI,Mar 2024,Mar 2025,M,beginner,26,70.21,67.05,54.98,0.49,0.71,0.46,5.1,never,partial,1,1,0.48,0,0,2,0,0,7.9,42,light,3,1,1,3,4,4.9,school,0.66,4
Wave_3,AI,Sep 2024,Sep 2025,F,beginner,29,81.42,46.79,69.37,1,0.91,0.68,3.8,mostly,all,1,0,0.7,0,1,1,0,1,9.7,32,none,4,1,2,2,2,5.4,school,0.61,5
Wave_3,C++,Sep 2024,Sep 2025,F,beginner,18,42.36,99.09,53.27,0.6,0.44,0.92,13.9,never,mostly,1,1,0.66,0,1,1,1,0,3.8,29,frequent,3,1,4,2,3,6.3,school,0.98,2
Wave_3,Web,Sep 2024,Sep 2025,M,advanced,18,87.96,90.33,99.26,0.62,0.38,0.76,15.8,never,all,0,0,0.64,1,1,4,0,0,9.1,14,frequent,5,1,4,2,4,6.4,school,0.7,5
Wave_3,DevHack,Sep 2024,Sep 2025,M,advanced,32,77.67,47.48,96.64,0.41,0.49,0.67,6.8,every_lecture,none,1,0,0.48,1,1,4,0,0,9.5,64,none,4,1,1,4,3,7.9,none,0.9,1
